,Serial No.,Time,Conc(UG/M3),Flow(l/m),AT(C),BP(PA),RHx(%),RHi(%),WS(M/S),WD(Deg),BV(V),Alarm,Station Loc
0,880,2015-07-11 05:30:00,10,2.0,27.5,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
1,879,2015-07-11 05:15:00,4,2.0,27.5,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
2,878,2015-07-11 05:00:00,3,2.0,27.5,86205,1.0,49.0,0.3,2.0,14.1,1,P23195
3,877,2015-07-11 04:45:00,4,2.0,27.5,86205,1.0,49.0,0.3,2.0,14.1,1,P23195
4,876,2015-07-11 04:30:00,3,2.0,27.5,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
5,875,2015-07-11 04:15:00,3,2.0,27.6,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
6,874,2015-07-11 04:00:00,3,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
7,873,2015-07-11 03:45:00,3,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
8,872,2015-07-11 03:30:00,3,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
9,871,2015-07-11 03:15:00,2,2.0,27.7,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
10,870,2015-07-11 03:00:00,3,2.0,27.8,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
11,869,2015-07-11 02:45:00,3,2.0,27.8,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
12,868,2015-07-11 02:30:00,3,2.0,27.9,86186,1.0,49.0,0.3,2.0,14.1,1,P23195
13,867,2015-07-11 02:15:00,3,2.0,28.0,86205,1.0,48.0,0.3,2.0,14.1,1,P23195
14,866,2015-07-11 02:00:00,3,2.0,28.0,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
15,865,2015-07-11 01:45:00,3,2.0,28.1,86225,1.0,49.0,0.3,2.0,14.1,1,P23195
16,864,2015-07-11 01:30:00,3,2.0,28.2,86244,1.0,49.0,0.3,2.0,14.1,1,P23195
17,863,2015-07-11 01:15:00,4,2.0,28.3,86244,1.0,49.0,0.3,2.0,14.1,1,P23195
18,862,2015-07-11 01:00:00,4,2.0,28.4,86264,1.0,49.0,0.3,2.0,14.1,1,P23195
19,861,2015-07-11 00:45:00,6,2.0,28.4,86283,1.0,49.0,0.3,2.0,14.1,1,P23195
20,860,2015-07-11 00:30:00,6,2.0,28.6,86283,1.0,48.0,0.3,2.0,14.1,1,P23195
21,859,2015-07-11 00:15:00,7,2.0,28.6,86283,1.0,49.0,0.3,2.0,14.1,1,P23195
